artist,title
Common Featuring The Last Poets,The Corner
50 Cent,Just A Lil Bit
Fantasia,Free Yourself
Mariah Carey,We Belong Together
I-Wayne,Can't Satisfy Her
Pretty Ricky,Grind With Me
R. Kelly,Trapped In The Closet
Mary J. Blige Featuring The Game & 50 Cent,MJB Da MVP
Lyfe Jennings,Must Be Nice
Gerald Levert,So What (If You Got A Baby)
Boyz N Da Hood,Dem Boyz
T.I.,ASAP
Memphis Bleek,Like That
Keyshia Cole,(I Just Want It) To Be Over
Kanye West,Diamonds From Sierra Leone
Teairra Mari,Make Her Feel Good
"Damian ""Jr. Gong"" Marley",Welcome To Jamrock
Missy Elliott Featuring Ciara & Fat Man Scoop,Lose Control
Bow Wow Featuring Omarion,Let Me Hold You
Gucci Mane Featuring Young Jeezy & Boo,Icy
Mike Jones,Back Then
Ludacris Featuring Bobby Valentino,Pimpin' All Over The World
Gwen Stefani,Hollaback Girl
Omarion,Touch
Miranda,So Fresh
The Pussycat Dolls Featuring Busta Rhymes,Don't Cha
Fat Joe Featuring Nelly,Get It Poppin'
The Game,Dreams
Tony Yayo Featuring 50 Cent,So Seductive
Mint Condition,I'm Ready
Young Jeezy Featuring Mannie Fresh,And Then What
Trey Songz Featuring Twista,Gotta Make It
Bobby Valentino,Tell Me
Charlie Wilson,Charlie Last Name: Wilson
Common,Go!
Taurus,Taurus Here
Jermaine Dupri,Gotta Getcha
R. Kelly Featuring The Game,Playa's Only
Vivian Green,Gotta Go Gotta Leave (Tired)
JAY-Z,Dear Summer
Ying Yang Twins Featuring Mike Jones & Mr. ColliPark,Badd
Toni Braxton,Please
David Banner,Play
Kanye West Featuring Jamie Foxx,Gold Digger
Rihanna,Pon de Replay
50 Cent Featuring Mobb Deep,Outta Control (Remix)
Bow Wow Featuring Ciara,Like You
Mariah Carey,Shake It Off
Marques Houston,Naked
Dr. Charles G. Hayes And The Warriors Featuring Dianne Williams,Work It Out
Scoundrels Featuring Pastor Troy,Ghetto
T.O.K.,Footprints
P$C Featuring T.I. & Lil Scrappy,I'm A King
Young Jeezy Featuring Akon,Soul Survivor
Paul Wall Featuring Big Pokey,Sittin' Sidewayz
Chris Brown,Run It!
"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me
Lil' Kim,Lighters Up
Twista Featuring Trey Songz,Girl Tonite
Alicia Keys,Unbreakable
Webbie Featuring Trina,Bad Chick
T-Pain,I'm Sprung
Pretty Ricky,Your Body
D4L,Laffy Taffy
Young Jeezy Featuring Jay-Z,Go Crazy
Miranda,Rep Ur High School
Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly
YoungBloodZ,Presidential
Keyshia Cole,I Should Have Cheated
Jill Scott,Cross My Mind
R. Kelly,Slow Wind
Sean Paul,We Be Burnin'
Trina Featuring Kelly Rowland,Here We Go
Ray J,One Wish
Juelz Santana,There It Go! (The Whistle Song)
Meli'sa Morgan & Freddie Jackson,Back Together Again
Ciara,And I
Ne-Yo Featuring Peedi Peedi,Stay
Fugees,Take It Easy
Foxy Brown Featuring Sizzla,Come Fly With Me
Eric Benet,I Wanna Be Loved
Fantasia,Ain't Gon' Beg You
Kem,Find Your Way (Back In My Life)
Pharrell Featuring Gwen Stefani,Can I Have It Like That
Kirk Franklin,Looking For You
Mariah Carey,Don't Forget About Us
Lil Wayne,Fireman
Trey Songz,Gotta Go
Purple Ribbon All-Stars,Kryptonite (I'm On It)
Kanye West Featuring Adam Levine,Heard 'Em Say
Chamillionaire Featuring Lil' Flip,Turn It Up
50 Cent,Window Shopper
Jaheim Featuring Jadakiss,Everytime I Think About Her
Bun-B Featuring Lil' Keke,Draped Up
Common,Testify
Mary J. Blige,Be Without You
Ying Yang Twins Featuring Pitbull,Shake
Busta Rhymes,Touch It
"Nelly Featuring Paul Wall, Ali & Gipp",Grillz
Styles P Featuring Akon,Can You Believe It
Jamie Foxx Featuring Ludacris,Unpredictable
Juvenile,Rodeo
Black Rob,Ready
Tre,Baby Girl
Ne-Yo,So Sick
"The Notorious B.I.G. Featuring Diddy, Nelly, Jagged Edge & Avery Storm",Nasty Girl
Heather Headley,In My Mind
Charlie Wilson,Magic
Bow Wow Featuring J-Kwon & Jermaine Dupri,Fresh Azimiz
Beyonce Featuring Slim Thug,Check On It
Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It"
Ludacris & Field Mob Featuring Jamie Foxx,Georgia
Kindred The Family Soul,Where Would I Be (The Question)
Lyfe Jennings Featuring Fantasia,Hypothetically
Chris Brown,Yo (Excuse Me Miss)
T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper)
Faith Evans,Tru Love
Young Jeezy,My Hood
Anthony Hamilton,Can't Let Go
Juelz Santana,Oh Yes (aka 'Postman')
Keyshia Cole,Love
Gwen Stefani,Luxurious
Sean Paul,Temperature
D4L,Betcha Can't Do It Like Me
Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty
Kanye West Featuring Lupe Fiasco,Touch The Sky
Remy Ma,Conceited (There's Something About Remy)
Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers
Mobb Deep Featuring 50 Cent & Nate Dogg,Have A Party
Tyra,Still In Love
Shawnna,Gettin' Some
The Isley Brothers Featuring Ronald Isley,Just Came Here To Chill
Avant,4 Minutes
Ying Yang Twins Featuring Avant,Bedroom Boom
Three 6 Mafia,Poppin' My Collar
LL Cool J Featuring Jennifer Lopez,Control Myself
India.Arie,I Am Not My Hair
50 Cent & Olivia,Best Friend
T.I.,What You Know
Cheri Dennis,I Love You
Scoundrel Squad Featuring Bun-B,Sister
Ghostface Killah Featuring Ne-Yo,Back Like That
Jagged Edge,Good Luck Charm
Young Jeezy,Trap Star
Yung Joc,It's Goin' Down
Brian McKnight,Find Myself In You
Christina Milian Featuring Young Jeezy,Say I
Urban Mystic,I Refuse
Ne-Yo,When You're Mad
E-40 Featuring Keak Da Sneak,Tell Me When To Go
Chamillionaire Featuring Krayzie Bone,Ridin'
Mariah Carey,Fly Like A Bird
LeToya,Torn
Rick Ross,Hustlin'
Paul Wall,Girl
Mary J. Blige Featuring Brook-Lyn,Enough Cryin
Lil Wayne,Hustler Musik
Lil' Kim,Whoa
Jamie Foxx Featuring Twista,DJ Play A Love Song
T.I.,Why You Wanna
Chris Brown Featuring Lil Wayne,Gimme That
Field Mob Featuring Ciara,So What
"DJ Khaled Featuring Lil Wayne, Paul Wall, Fat Joe, Rick Ross & Pitbull",Holla At Me
Teena Marie,Ooh Wee
"Bun-B Featuring Pimp C, Z-Ro, Young Jeezy & Jay-Z",Get Throwed
Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It
Jamie Foxx,Can I Take You Home
Cham Featuring Alicia Keys,Ghetto Story Chapter 2
Young Dro Featuring T.I.,Shoulder Lean
Megan Rochell Featuring Fabolous,The One You Need
Eric Benet,Pretty Baby
Busta Rhymes Featuring will.i.am & Kelis,I Love My B****
Kelis Featuring Too $hort,Bossy
Remy Ma Featuring Ne-Yo,Feels So Good
Cassie,Me & U
Beenie Man,Hmm Hmm
Dem Franchize Boyz,Ridin' Rims
Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me
OutKast,"Mighty ""O"""
Donell Jones,I'm Gonna Be
Ne-Yo,Sexy Love
Chingy Featuring Tyrese,Pullin' Me Back
E-40 Featuring T-Pain & Kandi Girl,U And Dat
Lyfe Jennings,S.E.X.
Luther Vandross,Shine
Beyonce Featuring Jay Z,Deja Vu
Janet & Nelly,Call On Me
Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It
Lionel Richie,I Call It Love
Omarion,Entourage
Rihanna,Unfaithful
Nelly Furtado Featuring Timbaland,Promiscuous
Pharrell Featuring Kanye West,Number One
Ciara Featuring Chamillionaire,Get Up
Shareefa Featuring Ludacris,Need A Boss
Birdman & Lil Wayne,Stuntin' Like My Daddy
Tony Matterhorn,Dutty Wine
Monica Featuring Dem Franchize Boyz,Everytime Tha Beat Drop
Heather Headley,Me Time
Ludacris Featuring Pharrell,Money Maker
Diddy Featuring Nicole Scherzinger,Come To Me
LeToya,She Don't
Cadillac Don & J-Money,Peanut Butter & Jelly
Freddie Jackson,Until The End Of Time
India.Arie,There's Hope
Jibbs,Chain Hang Low
Chris Brown,Say Goodbye
Mary J. Blige,Take Me As I Am
Lloyd Banks Featuring 50 Cent,Hands Up
Unk,Walk It Out
Sammie Featuring Sean Paul Of YoungBloodZ,You Should Be My Girl
Rick Ross,Push It
Ruben Studdard,Change Me
Ice Mizzle,She Bi
Beyonce,Ring The Alarm
The Game Featuring Junior Reid,It's Okay (One Blood)
Busta Rhymes Featuring Rick James,In The Ghetto
Justin Timberlake,SexyBack
Webstar & Young B Featuring The Voice Of Harlem,Chicken Noodle Soup.
Lil Scrappy Featuring Young Buck,Money In The Bank
Danity Kane,Show Stopper
Jim Jones,We Fly High
Bow Wow Featuring Chris Brown & Johnta Austin,Shortie Like Mine
Lloyd Featuring Lil Wayne,You
Mary Mary,Yesterday
Cherish,Unappreciated
Justin Timberlake Featuring T.I.,My Love
JAY-Z,Show Me What You Got
Beyonce Featuring Jay Z,Upgrade U
Janet Featuring Khia,So Excited
Akon Featuring Snoop Dogg,I Wanna Love You
Brian McKnight,Used To Be My Girl
Beyonce,Irreplaceable
Lil' Boosie Featuring Yung Joc,Zoom
Chris Brown Featuring Jay Biz,Poppin'
Fat Joe Featuring Lil Wayne,Make It Rain
Ciara,Promise
Snoop Dogg Featuring R. Kelly,That's That
Young Jeezy,I Luv It
Young Dro,Rubberband Banks
Johnta Austin,Turn It Up
Akon Featuring Eminem,Smack That
Ludacris Featuring Mary J. Blige,Runaway Love
T.I.,Top Back
Robin Thicke,Lost Without U
Diddy Featuring Christina Aguilera,Tell Me
Fantasia Featuring Big Boi,Hood Boy
Mavado,Weh Dem A Do
Rich Boy Featuring Polow Da Don,Throw Some D's
Lyfe Jennings,Let's Stay Together
Jay-Z Featuring Chrisette Michele,Lost One
Pretty Ricky,On The Hotline
Omarion,Ice Box
John Legend,Heaven
Nas Featuring will.i.am,Hip Hop Is Dead
Monica,A Dozen Roses (You Remind Me)
Tyrese,One
Tamia,Can't Get Enough
Yung Joc Featuring Marques Houston & Trey Songz,1st Time
Shareefa,Cry No More
Musiq Soulchild,Buddy
The Game Featuring Kanye West,Wouldn't Get Far
Mary J. Blige,We Ride ((I See The Future))
Young Jeezy Featuring R. Kelly,Go Getta
Tank,Please Don't Go
Jennifer Hudson,And I Am Telling You I'm Not Going
Mims,This Is Why I'm Hot
Diddy Featuring Keyshia Cole,Last Night
R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),I'm A Flirt
Elisabeth Withers,Be With You
Jibbs Featuring Chamillionaire,King Kong
JAY-Z,30 Something
Beyonce,Listen
Joe,If I Was Your Man
Gerald Levert,In My Songs
Unk,2 Step
Crime Mob Featuring Lil Scrappy,Rock Yo Hips
Nas Featuring Chrisette Michele,Can't Forget About You
Ne-Yo,Because Of You
Beyonce,Get Me Bodied
Marques Houston,Circle
Monica,Sideline Ho
Bow Wow Featuring T-Pain & Johnta Austin,Outta My System
Ciara,Like A Boy
Huey,"Pop, Lock & Drop It"
Crystal Dove Starring Dice Gamble,Until You Come Back To Me
T-Pain Featuring Yung Joc,Buy U A Drank (Shawty Snappin')
Akon,Don't Matter
Sammie,Come With Me
Fantasia,When I See U
Lloyd,Get It Shawty
"DJ Khaled Featuring T.I., Akon, Rick Ross, Fat Joe, Lil' Wayne & Baby",We Takin' Over
Ruben Studdard,Make Ya Feel Beautiful
Shop Boyz,Party Like A Rockstar
Swizz Beatz,It's Me Snitches
Young Buck,Get Buck
Musiq Soulchild,teachme
Timbaland Featuring Nelly Furtado & Justin Timberlake,Give It To Me
Lil Boosie Featuring Foxx & Webbie,Wipe Me Down
Kelly Rowland Featuring Eve,Like This
"Anthony Hamilton, Jaheim & Musiq Soulchild",Struggle No More (The Main Event)
Paul Wall Featuring Jermaine Dupri,I'm Throwed
50 Cent,Straight To The Bank
Fergie Featuring Ludacris,Glamorous
Justin Timberlake Duet With Beyonce,Until The End Of Time
Lil Mama,Lip Gloss
Bobby Valentino Featuring Timbaland,Anonymous
T.I.,Big Things Poppin' (Do It)
Rihanna Featuring Jay-Z,Umbrella
Fabolous Featuring Ne-Yo,Make Me Better
Brian McKnight,What's My Name
R. Kelly Duet With Usher,Same Girl
Eve,Tambourine
Chris Brown,Wall To Wall
Mario,How Do I Breathe
Collie Buddz,Come Around
Hurricane Chris,A Bay Bay
Gerald Levert,DJ Don't
Robin Thicke,Can U Believe
Bone Thugs-N-Harmony Featuring Akon,I Tried
50 Cent,Amusement Park
The Alliance Featuring Fabo,Tattoo
Ne-Yo,Do You
T-Pain Featuring Akon,Bartender
Yung Berg Featuring Junior,Sexy Lady
Cupid,Cupid Shuffle
Plies Featuring T-Pain,Shawty
Keyshia Cole Featuring Missy Elliott & Lil Kim,Let It Go
John Legend,Another Again
Kanye West,Can't Tell Me Nothing
Gorilla Zoe,Hood Figga
Sean Kingston,Beautiful Girls
Chrisette Michele,If I Have My Way
Tamia,Me
Soulja Boy Tell'em,Crank That (Soulja Boy)
Ciara Featuring 50 Cent,Can't Leave 'Em Alone
J. Holiday,Bed
Swizz Beatz,Money In The Bank
Yung Joc Featuring Gorilla Zoe,Coffee Shop
Marques Houston,Wonderful
T.I. Featuring Wyclef Jean,You Know What It Is
UGK Featuring OutKast,Int'l Players Anthem (I Choose You)
50 Cent,I Get Money
Prince,Future Baby Mama
Gucci Mane,Freaky Gurl
The-Dream,Shawty Is A 10
Playaz Circle Featuring Lil Wayne,Duffle Bag Boy
Cassidy Featuring Swizz Beatz,My Drink N' My 2 Step
Angie Stone Featuring Betty Wright,Baby
B5 Featuring Bow Wow,Hydrolics
Jill Scott,Hate On Me
Chaka Khan,Angel
Nelly,Wadsyaname
Tank,Heartbreaker
Trey Songz,Can't Help But Wait
Alicia Keys,No One
Kanye West,Stronger
Chris Brown Featuring T-Pain,Kiss Kiss
"DJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross & Plies",I'm So Hood
Keyshia Cole Introducing Amina,Shoulda Let You Go
Kanye West Featuring T-Pain,Good Life
Jagged Edge Featuring Ashanti,Put A Little Umph In It
JAY-Z,Blue Magic
Fantasia,Only One U
Soulja Boy Tell'em Featuring I-15,Soulja Girl
Raheem DeVaughn,Woman
Mario,Crying Out For Me
Mary J. Blige,Just Fine
50 Cent Featuring Justin Timberlake & Timbaland,Ayo Technology
Common,I Want You
Fabolous Featuring Jermaine Dupri,Baby Don't Go
Joe,My Love
TMI Boyz,Swervin
J. Holiday,Suffocate
JAY-Z,Roc Boys (And The Winner Is)...
Hurricane Chris Featuring Big Poppa,The Hand Clap
Alicia Keys,Like You'll Never See Me Again
Plies Featuring Akon,Hypnotized
Rihanna Featuring Ne-Yo,Hate That I Love You
Birdman Featuring Lil Wayne,Pop Bottles
Jaheim,Never
Webbie Featuring Lil' Phat & Lil' Boosie,Independent
Kanye West Featuring Dwele,Flashing Lights
Keyshia Cole,I Remember
Bow Wow & Omarion,Girlfriend
Tyra B,Givin' Me A Rush
Flo Rida Featuring T-Pain,Low
Snoop Dogg,Sensual Seduction
Aretha Franklin With Fantasia,Put You Up On Game
Shawty Lo,Dey Know
Chris Brown,With You
Mary J. Blige,Work That
Chris Brown,This Christmas
Chingy Featuring Amerie,Fly Like Me
Ledisi,Alright
Fat Joe Featuring J. Holiday,I Won't Tell
The-Dream,Falsetto
Erykah Badu,Honey
Rocko,Umma Do Me
Lil Wil,My Dougie
Missy Elliott,Ching-A-Ling
Janet,Feedback
Ray J & Yung Berg,Sexy Can I
Lupe Fiasco Featuring Matthew Santos,Superstar
Jay-Z Featuring Pharrell,I Know
Kirk Franklin,Declaration (This Is It!)
Lyfe Jennings,Never Never Land
Raheem DeVaughn,Customer
Rick Ross Featuring T-Pain,The Boss
Ryan Leslie,Diamond Girl
Ne-Yo,Go On Girl
Hurricane Chris Featuring Boxie,Playas Rock
Dolla Featuring T-Pain & Tay Dizm,Who The F*** Is That?
Chaka Khan,One For All Time
Mariah Carey,Touch My Body
Usher Featuring Young Jeezy,Love In This Club
Angie Stone,Sometimes
Soulja Boy Tell'em Featuring Arab,YAHHH!
Janet,Luv
2 Pistols Featuring T-Pain & Tay Dizm,She Got It
Trey Songz,Last Time
Keith Sweat Featuring Paisley Bettis,Suga Suga Suga
Lil Mama Featuring Chris Brown & T-Pain,Shawty Get Loose
Ashanti,The Way That I Love You
Jill Scott,My Love
DAY26,Got Me Going
Plies Featuring Ne-Yo,Bust It Baby Part 2
Noel Gourdin,The River
Lil Wayne Featuring Static Major,Lollipop
Mary J. Blige,Stay Down
Jordin Sparks Duet With Chris Brown,No Air
Mike Jones Featuring Hurricane Chris,Drop & Gimme 50
Sean Garrett Featuring Ludacris,Grippin'
Marvin Sapp,Never Would Have Made It
Chris Brown,Take You Down
The-Dream,I Luv Your Girl
V.I.C.,Get Silly
Keyshia Cole,Heaven Sent
Alicia Keys,Teenage Love Affair
Ledisi,In The Morning
Mario,Music For Love
Usher Featuring Beyonce & Lil Wayne,Love In This Club Part II
Snoop Dogg Featuring Too $hort & Mistah F.A.B.,Life Of Da Party
Ne-Yo,Closer
T.I.,No Matter What
Shawty Lo,Foolish
Mariah Carey,Bye Bye
Lil Wayne,A Milli
Lloyd Featuring Lil Wayne,Girls Around The World
Jaheim Featuring Keyshia Cole,I've Changed
Hot Stylz Featuring Yung Joc,Lookin Boy
The Game Featuring Keyshia Cole,Game's Pain
Bun-B Featuring Sean Kingston,That's Gangsta
Eric Benet,You're The Only One
Young Jeezy Featuring Kanye West,Put On
David Banner Featuring Chris Brown,Get Like Me
Jazmine Sullivan,Need U Bad
Rihanna,Take A Bow
Usher,Moving Mountains
Robin Thicke,Magic
Lil Wayne Featuring T-Pain,Got Money
Rick Ross Featuring Nelly & Avery Storm,Here I Am
Soulja Boy Tell'em,Donk
Jennifer Hudson,Spotlight
Maino,Hi Hater
Solange,I Decided
Dwele,I'm Cheatin'
Plies Featuring Jamie Foxx & The-Dream,Please Excuse My Hands
Slim Featuring Yung Joc,So Fly
Yung Berg Featuring Casha,The Business
"Three 6 Mafia Featuring Project Pat, Young D & Superpower",Lolli Lolli (Pop That Body)
LL Cool J Featuring The-Dream,Baby
"DJ Khaled Feat. Akon, Plies, Young Jeezy, Rick Ross, Ace Hood, Trick Daddy & Lil' Boosie",Out Here Grindin
Mariah Carey,I'll Be Lovin' U Long Time
Lil Wayne Featuring Jay-Z,Mr. Carter
T.I.,Whatever You Like
Al Green Featuring John Legend,Stay With Me (By The Sea)
T-Pain Featuring Lil Wayne,Can't Believe It
Keri Hilson,Energy
Ne-Yo,Miss Independent
Lil Wayne Featuring Bobby Valentino & Kidd Kidd,Mrs. Officer
Alicia Keys,Superwoman
Ryan Leslie Featuring Cassie & Fabolous,Addiction
Pleasure P,Did You Wrong
Joe,E.R. (Emergency Room)
Ludacris Co-Starring Chris Brown & Sean Garrett,What Them Girls Like
Bow Wow Featuring Soulja Boy Tell'em,Marco Polo
Mike Jones Featuring Trey Songz & Twista,Cuddy Buddy
Ashanti,Good Good
Brandy,Right Here (Departed)
Jay-Z & T.I. Featuring Kanye West & Lil Wayne,Swagga Like Us
The Game Featuring Lil Wayne,My Life
Kardinal Offishall Featuring Akon,Dangerous
Ciara Featuring T-Pain,Go Girl
Usher,Trading Places
John Legend Featuring Andre 3000,Green Light
T.I. Featuring Rihanna,Live Your Life
Mint Condition,Nothing Left To Say
Eric Benet,The Hunger
Jazmine Sullivan,Bust Your Windows
Robin Thicke,The Sweetest Love
Mary Mary,Get Up
Avant,When It Hurts
Ace Hood Featuring Trey Songz,Ride
Usher,Here I Stand
Kanye West,Love Lockdown
Musiq Soulchild Featuring Mary J. Blige,IfULeave
Beyonce,Single Ladies (Put A Ring On It)
T-Pain Featuring Ludacris,Chopped 'N' Skrewed
M.I.A.,Paper Planes
Jim Jones & Ron Browz Featuring Juelz Santana,Pop Champagne
Keyshia Cole Featuring 2Pac,Playa Cardz Right
Beyonce,If I Were A Boy
50 Cent,Get Up
Gorilla Zoe,Lost
Ludacris Co-Starring T-Pain,One More Drink
Plies Featuring Chris J,Put It On Ya
Raphael Saadiq,Love That Girl
Unk,Show Out
Jamie Foxx Featuring T.I.,Just Like Me
Bobby V Featuring Yung Joc,Beep
Anthony Hamilton Featuring David Banner,Cool
Busta Rhymes Featuring Ron Browz,Arab Money
Ne-Yo Featuring Jamie Foxx & Fabolous,She Got Her Own
Kanye West,Heartless
Wayne Brady,Ordinary
Akon Featuring Lil Wayne & Young Jeezy,I'm So Paid
Ne-Yo,Mad
Soulja Boy Tell'em,Bird Walk
Slim Featuring Fabolous & Ryan Leslie,Good Lovin'
Brandy,Long Distance
Beyonce,Diva
Yung L.A. Featuring Young Dro & T.I.,Ain't I
The-Dream,Rockin' That Thang
Keri Hilson Featuring Lil Wayne,Turnin Me On
Keyshia Cole,You Complete Me
J. Holiday,It's Yours
Charlie Wilson,There Goes My Baby
Jennifer Hudson,If This Isn't Love
Jamie Foxx Featuring T-Pain,Blame It
Ron Browz,Jumping (Out The Window)
Jazmine Sullivan,"Lions, Tigers & Bears"
GS Boyz,Stanky Legg
Young Jeezy Featuring Nas,My President
Mims,Move (If You 'W'anna)
T.I. Featuring Justin Timberlake,Dead And Gone
Soulja Boy Tell 'em Featuring Sammie,Kiss Me Thru The Phone
T-Pain Featuring Chris Brown,Freeze
Musiq Soulchild,sobeautiful
Plies Featuring Ashanti,"Want It, Need It"
OJ Da Juiceman Featuring Gucci Mane,Make Tha Trap Say Aye
India.Arie Featuring Musiq Soulchild,Chocolate High
Pleasure P,Boyfriend #2
50 Cent,I Get It In
Rick Ross Featuring John Legend,Magnificent
Ciara Featuring Young Jeezy,Never Ever
Young Jeezy,Who Dat
Slim Thug,I Run
Chrisette Michele,Epiphany (I'm Leaving)
Soulja Boy Tell'em,Turn My Swag On
The-Dream Featuring Mariah Carey,My Love
K'Jon,On The Ocean
Bow Wow Featuring Johnta Austin,You Can Get It All
Eric Benet,Chocolate Legs
Beyonce,Halo
Kid Cudi,Day 'N' Nite
Laura Izibor,From My Heart To Yours
Keri Hilson Featuring Kanye West & Ne-Yo,Knock You Down
Birdman Featuring Lil Wayne,Always Strapped
Jeremih,Birthday Sex
Hurricane Chris Featuring SupaSTAAR,Halle Berry (She's Fine)
Ginuwine,Last Chance
F.L.Y. (Fast Life Yungstaz),Swag Surfin'
Raphael Saadiq Featuring Stevie Wonder & CJ,Never Give You Up
Jamie Foxx Featuring Timbaland,I Don't Need It
Young Money,Every Girl
Trey Songz,I Need A Girl
LeToya,Not Anymore
Paul Wall Featuring Webbie & Mouse,Bizzy Body
DAY26 Featuring P. Diddy & Yung Joc,Imma Put It On Her
Maxwell,Pretty Wings
Drake,Best I Ever Had
Lil Kim Featuring T-Pain & Charlie Wilson,Download
Anthony Hamilton,The Point Of It All
"Mary Mary Featuring Kierra ""KiKi"" Sheard",God In Me
Dorrough,Walk That Walk
Twista Featuring Erika Shevon,Wetter (Calling You Daddy)
Teena Marie Featuring Faith Evans,Can't Last A Day
Keyshia Cole Duet With Monica,Trust
Beyonce,Ego
Plies,Plenty Money
The-Dream Featuring Kanye West,Walkin' On The Moon
Dorrough,Ice Cream Paint Job
T.I. Featuring Mary J. Blige,Remember Me
Mario Featuring Gucci Mane & Sean Garrett,Break Up
Fabolous Featuring The-Dream,Throw It In The Bag
Jadakiss Featuring Swizz Beatz & OJ Da Juiceman,Who's Real
Webstar & Jim Jones Featuring Juelz Santana,Dancin On Me
New Boyz,You're A Jerk
Charlie Wilson,Can't Live Without You
Mariah Carey,Obsessed
Drake Featuring Trey Songz & Lil Wayne,Successful
Jeremih,Imma Star (Everywhere We Are)
Mary J. Blige Featuring Drake,The One
R. Kelly Featuring OJ Da Juiceman,Supaman High
Yo Gotti,5 Star
JAY-Z,D.O.A. (Death Of Auto-Tune)
Pleasure P,Under
Maxwell,Bad Habits
Jazmine Sullivan,In Love With Another Man
Kid Cudi Featuring Kanye West & Common,Make Her Say
Chrisette Michele,Blame It On Me
Whitney Houston,I Look To You
"Jay-Z, Rihanna & Kanye West",Run This Town
Trey Songz Featuring Gucci Mane & Soulja Boy Tell'em,LOL :-)
Mullage,Trick'n
R. Kelly Featuring Keri Hilson,Number One
Gucci Mane Featuring Plies Or OJ Da Juiceman,Wasted
Plies,Becky
Mishon,Just A Kiss
"Jamie Foxx Featuring Drake, Kanye West + The-Dream",Digital Girl
LeToya Featuring Ludacris,Regret
Keri Hilson,Slow Dance
Clipse Featuring Pharrell,I'm Good
Trey Songz Featuring Drake,I Invented Sex
"Drake Featuring Kanye West, Lil Wayne & Eminem",Forever
The-Dream,Sweat It Out
BeBe & CeCe Winans,Close To You
Chalie Boy,I Look Good
Whitney Houston,Million Dollar Bill
Lil Boosie Featuring Young Jeezy & Webbie,Better Believe It
Alicia Keys,Doesn't Mean Anything
Mariah Carey,I Want To Know What Love Is
Drake Featuring Lil Wayne & Young Jeezy,I'm Going In
Jay-Z + Alicia Keys,Empire State Of Mind
Ester Dean Featuring Chris Brown,Drop It Low
Fabolous Featuring Keri Hilson,"Everything, Everyday, Everywhere"
Chris Brown Featuring Lil Wayne & Swizz Beatz,I Can Transform Ya
50 Cent Featuring Ne-Yo,Baby By Me
Usher,Papers
Birdman Featuring Lil Wayne & Drake,Money To Blow
Omarion Featuring Gucci Mane,I Get It In
Brian McKnight,What I've Been Waiting For
Michael Jackson Featuring The Jacksons,This Is It
Beyonce,Sweet Dreams
Mario,Thinkin' About You
Melanie Fiona,It Kills Me
Trey Songz Featuring Fabolous,Say Aah
Snoop Dogg Featuring The-Dream,Gangsta Luv
Gucci Mane Featuring Usher,Spotlight
6 Tre G,Fresh
Rihanna,Russian Roulette
Rihanna Featuring Jeezy,Hard
Jaheim,Ain't Leavin Without You
Ledisi,Goin' Thru Changes
Young Money Featuring Gucci Mane,Steady Mobbin'
Raheem DeVaughn Featuring Ludacris,Bulletproof
Toni Braxton Featuring Trey Songz,Yesterday
Alicia Keys,Try Sleeping With A Broken Heart
New Boyz Featuring Ray J,Tie Me Down
Mary J. Blige,I Am
Young Money Featuring Lloyd,BedRock
Ludacris,How Low
Beyonce Featuring Lady Gaga,Video Phone
Robin Thicke,Sex Therapy
Nicki Minaj Featuring Lil Wayne,I Get Crazy
Waka Flocka Flame,O Let's Do It
Sade,Soldier Of Love
Snoop Dogg,I Wanna Rock
Angie Stone,I Ain't Hearin' U
Roscoe Dash Featuring Soulja Boy Tell'em,All The Way Turnt Up
Usher Featuring Plies,Hey Daddy (Daddy's Home)
R. Kelly,Religious
Timbaland Featuring Drake,Say Something
"DJ Khaled Featuring Usher, Drake, Young Jeezy & Rick Ross",Fed Up
Jay-Z + Swizz Beatz,On To The Next One
Maxwell,Fistful Of Tears
Yo Gotti Featuring Lil Wayne,"Women Lie, Men Lie"
Trey Songz,Neighbors Know My Name
The Party Boyz,Flex
Gucci Mane,Lemonade
Plies Featuring Keri Hilson,Medicine
Ruben Studdard,Don't Make 'Em Like U No More
50 Cent,Do You Think About Me
Usher,There Goes My Baby
Marvin Sapp,The Best In Me
Monica,Everything To Me
Usher Featuring Nicki Minaj,Lil Freak
Omarion,Speedin'
Dondria,You're The One
Mariah Carey Featuring Nicki Minaj,Up Out My Face
Kirk Franklin Presents Artists United For Haiti,Are You Listening
Corinne Bailey Rae,Closer
B.o.B Featuring Bruno Mars,Nothin' On You
Raheem DeVaughn,I Don't Care
Ludacris Featuring Nicki Minaj,My Chick Bad
Erykah Badu,Window Seat
